Keyword,Google Ads Search Volume,Google Ads CPC,Google Ads Competition,Bing Ads Search Volume,Bing Ads CPC,Bing Ads Competition
petco birds,6600,$0.62,Low,130,$0.05,Medium
dog house walmart,6600,$0.43,Low,20,$0.05,Medium
petsmart turtles,6600,$0.29,Low,130,$0.05,Medium
llbean dog beds,6600,$0.92,Low,70,$0.05,Low
petco dog crates,5400,$1.09,Low,150,$1.06,Medium
pet supplies online,5400,$5.68,Low,1360,$2.73,High
petland puppies,5400,$0.92,High,370,$0.9,High
pet superstore,5400,$1.69,High,140,$0.05,Medium
pet food store,5400,$4.65,High,340,$0.05,High
petsmart dog crates,5400,$0.68,Low,70,$0.05,Medium
petco dog beds,5400,$1.8,Low,190,$1.69,High
petco pets,5400,$0.95,Low,140,$1.62,High
petsmart cats,5400,$0.48,Low,120,$0.05,Medium
petco guinea pig,5400,$0.59,Low,40,$0.05,Low
petco ferrets,5400,$0.8,Low,70,$0.05,Medium
reptile shops near me,4400,$2.26,High,80,$0.05,Low
costco cat food,4400,$1.2,Low,170,$0.05,High
the puppy store,4400,$0.47,High,520,$0.05,High
local pet stores,4400,$3.1,High,190,$0.21,High
petco store,4400,$1.66,Low,170,$1.53,High
walmart pet carrier,4400,$0.48,Low,80,$0.05,Medium
dog shops,4400,$1.37,Low,90,$0.05,High
pet store near me with puppies,4400,$1.95,High,20,$0.05,Medium
petsmart puppies,4400,$0.62,Low,260,$0.35,Low
petsmart snakes,4400,$0.33,Low,70,$0.13,Low
petco dogs,4400,$1.13,Low,70,$0.05,Medium
dog harness petco,4400,$1.06,Low,30,$0.05,Medium
bearded dragon petsmart,4400,$0.27,Low,50,$0.05,Low
petsmart bunnies,4400,$0.67,Low,30,$0.05,Low
reptile shop,3600,$1.08,High,210,$1.02,Medium
closest pet store,3600,$2.16,High,30,$0.05,High
walmart pet supplies,3600,$1.39,Low,280,$0.05,High
costco puppy food,3600,$0.43,Low,130,$0.05,High
target dog food,3600,$1.52,Low,90,$0.05,Medium
petsmart aquarium,3600,$0.34,Low,60,$0.24,Medium
tractor supply dog houses,3600,$0.33,Low,80,$0.05,Medium
petco betta fish,3600,$0.67,Low,180,$0.05,Low
petsmart vaccinations,3600,$3.48,High,30,$0.05,Medium
pet stores with puppies,3600,$1.8,High,220,$0.05,High
petsmart lizards,3600,$0.18,Low,90,$0.05,Medium
betta fish petsmart,3600,$0.16,Low,40,$0.05,Low
bullseye target dog,3600,$0.13,Medium,90,$0.05,Medium
petco pet adoptions,3600,$0.88,High,40,$0.05,Low
dog shop near me,2900,$2.73,Medium,40,$0.05,High
cat store,2900,$1.39,Low,150,$0.7,High
the pet store,2900,$2.23,High,14100,$1.25,High
costco cat litter,2900,$2.2,Low,70,$0.05,High
petsmart online,2900,$0.57,Low,80,$0.39,High
bunnies for sale petsmart,2900,$1.11,Low,0,$0.05,Low
petsmart store,2900,$0.53,Low,220,$0.05,High
petsmart dog houses,2900,$0.8,Low,30,$1.11,Medium
dog food store near me,2900,$3.53,Low,70,$0.05,High
petco snakes,2900,$0.63,Low,80,$0.05,Medium
tractor supply dog crates,2900,$0.27,Low,70,$0.05,Low
buy a pet,2900,$1.61,Low,10740,$0.05,High
petco cats,2900,$1.24,Low,120,$0.05,Low
petco lizards,2900,$0.53,Low,100,$0.05,Medium
petco bearded dragon,2900,$0.65,Low,40,$0.05,Low
petco bunnies,2900,$0.8,Low,20,$0.05,Low
petsmart ferret,2900,$0.67,Low,30,$0.05,Medium
discount pet supplies,2400,$2.56,Low,500,$1.15,High
puppy shop,2400,$1.19,Low,150,$0.05,Medium
petco online,2400,$2.47,High,80,$1.83,High
petco cat food,2400,$1.22,Low,140,$1.22,High
petsmart cat food,2400,$1.22,Low,100,$0.05,Medium
petsense near me,2400,$1.41,High,50,$0.05,High
heb dog food,2400,$0.87,Low,80,$0.05,Medium
costco dog treats,2400,$1.89,Low,110,$1.66,Medium
puppy town,2400,$0.33,High,710,$0.05,Low
closest pet store to me,2400,$2.23,High,0,$0.05,Low
costco cat tree,2400,$1.89,Low,410,$0.05,Medium
petco puppies,2400,$0.99,Low,50,$0.05,Low
petco delivery,2400,$5.2,High,70,$1.67,High
reptile pet stores near me,2400,$2.7,High,60,$0.05,High
petsmart dog collars,2400,$0.71,Low,80,$0.05,High
petsmart delivery,2400,$4.46,High,90,$0.05,Low
leopard gecko petsmart,2400,$0.15,Low,50,$0.05,Low
chinchilla petsmart,2400,$0.37,Low,50,$0.1,Medium
petsmart dogs for sale,2400,$0.87,Low,0,$0.05,Low
1800 pet supplies,2400,$3.11,High,80,$0.05,High
hedgehog petsmart,2400,$0.75,Low,30,$0.05,Low
shock collar petsmart,2400,$0.74,Low,20,$0.05,Low
pet supplies wholesale,2400,$2.5,Low,40,$1.6,High
dog houses lowes,2400,$0.63,Low,0,$0.21,Low
chewy pet store,2400,$0.41,Low,250,$0.78,High
polly pet shop,2400,$1.72,High,20,$0.05,Low
walmart brand dog food,2400,$0.88,Low,40,$0.05,Low
aldi dog food,1900,$0.9,Low,170,$0.05,Medium
petsmart daycare,1900,$1.35,High,40,$1.51,Low
closest petco,1900,$2.0,High,40,$0.05,Low
petsmart doggie day camp,1900,$1.04,High,70,$0.05,Medium
dog treats near me,1900,$1.37,Low,50,$0.05,High
dog supplies near me,1900,$1.88,Low,60,$0.05,Medium
pet store around me,1900,$2.52,High,20,$0.05,Low
target cat litter,1900,$1.89,Low,60,$0.05,Medium
dog food store,1900,$4.79,Low,230,$2.31,High
petco kittens,1900,$1.38,Low,60,$0.05,Low
petco brooklyn,1900,$1.23,High,40,$0.05,Low
petsmart kennel,1900,$0.7,Low,40,$1.37,Low
dog muzzle walmart,1900,$0.36,Low,10,$0.05,Low
petco brand dog food,1900,$1.37,Low,40,$0.05,Low
nyc pet,1900,$2.23,High,40,$0.05,Low
petsmart crate,1900,$0.57,Low,40,$0.05,Low
petco dog collars,1900,$0.94,Low,60,$1.26,High
petco dog gates,1900,$1.9,Low,50,$0.05,High
walmart pets,1900,$0.51,Low,80,$0.05,High
petsmart dog gates,1900,$1.3,Low,30,$0.05,Medium
petsmart banfield near me,1900,$1.96,High,20,$0.05,Low
trader joe's dog treats,1900,$1.26,Low,120,$0.05,Medium
petsmart brand dog food,1900,$1.22,Low,30,$0.05,Low
petco dog houses,1900,$1.17,Low,30,$0.05,Medium
petsmart rabbits,1900,$0.53,Low,40,$0.05,Low
menards dog kennel,1900,$0.46,Low,40,$0.05,Medium
dog pet store,1900,$1.62,Low,30,$0.05,High
goldfish petsmart,1900,$0.24,Low,20,$0.05,Low
walmart dog pen,1900,$0.54,Low,20,$0.05,Low
pet shop online,1600,$2.81,Low,20,$3.24,High
cat food near me,1600,$2.45,Low,40,$0.05,High
nature pet store,1600,$3.66,High,20,$0.05,Medium
petsmart aurora,1600,$0.48,High,40,$0.05,Medium
dog boutique near me,1600,$0.97,High,40,$0.05,Low
elias pet shop,1600,$4.24,High,20,$0.05,Low
puppy shop near me,1600,$3.08,High,20,$0.05,Low
healthy pet center,1600,$0.75,High,70,$0.05,Low
target cat food,1600,$1.4,Low,60,$0.05,Medium
petco crates,1600,$1.07,Low,30,$0.76,Medium
animal house pet store,1600,$4.56,High,80,$0.05,Low
petco harness,1600,$0.99,Low,40,$0.05,High
reptile pet store,1600,$2.05,High,80,$0.05,Medium
dog supply store,1600,$1.44,Low,80,$0.05,High
trader joe's dog food,1600,$0.69,Low,50,$0.05,Medium
dog strollers walmart,1600,$0.48,Low,60,$0.05,Low
petco shock collar,1600,$1.19,Low,40,$0.05,Low
petsmart reptiles,1600,$0.29,Low,70,$0.11,Medium
pedigree dog food walmart,1600,$1.1,Low,30,$0.69,Medium
rural king dog kennel,1600,$0.3,Low,10,$0.05,Medium
petco rabbits,1600,$0.86,Low,40,$0.05,Medium
concord pet store,1600,$1.31,High,60,$0.05,Medium
kirkland dog food costco,1600,$0.49,Low,20,$0.05,Medium
tractor supply vaccinations,1600,$0.55,Medium,30,$0.05,Low
sam's club dog bed,1600,$0.62,Low,20,$0.05,Low
petco dog kennel,1600,$0.97,Low,140,$0.05,Low
petsmart hermit crabs,1600,$0.26,Low,30,$0.05,Medium
puppy store las vegas,1600,$0.79,High,90,$0.05,Medium
nearest pet shop,1300,$2.41,High,20,$0.05,High
cheap pet supplies,1300,$2.31,Low,650,$0.05,High
best online pet store,1300,$4.02,Low,60,$0.05,Medium
petco pals,1300,$0.91,High,780,$0.05,Low
dog shopping,1300,$1.42,Low,80,$0.95,High
menards dog food,1300,$0.74,Low,70,$0.05,Medium
petco self wash,1300,$0.94,High,20,$0.05,Low
discount pet supplies online,1300,$3.06,Low,50,$0.05,High
petsmart hr,1300,$0.87,High,90,$0.05,High
petco cat litter,1300,$1.32,Low,70,$1.81,High
whole foods dog food,1300,$4.59,Low,50,$0.05,High
dog muzzle petco,1300,$1.1,Low,40,$0.05,Medium
petsmart eastgate,1300,$0.53,High,40,$0.05,Low
dog muzzle petsmart,1300,$0.69,Low,10,$0.05,Low
blue buffalo dog food walmart,1300,$1.04,Low,60,$0.05,Low
petsmart sale,1300,$0.4,Low,70,$0.05,Medium
petsmart muzzle,1300,$0.46,Low,10,$0.05,Low
petsmart collars,1300,$0.58,Low,40,$0.05,Low
petco bark collar,1300,$1.2,Low,30,$0.05,Low
tractor supply cat food,1300,$0.78,Low,70,$0.05,High
petsmart dog daycare,1300,$1.74,High,10,$0.05,Medium
costco brand dog food,1300,$1.12,Low,50,$0.05,High
petco reptiles,1300,$0.62,Low,90,$0.05,Low
target dog crates,1300,$0.64,Low,30,$0.05,Low
turtles for sale petco,1300,$0.52,Low,0,$0.05,Low
iams dog food walmart,1300,$1.06,Low,20,$0.05,Low
petco goldfish,1300,$0.7,Low,60,$0.05,Low
tractor supply dog beds,1300,$0.42,Low,30,$0.05,Low
dog booties petco,1300,$0.72,Low,20,$0.05,Low
petland puppy prices,1300,$1.58,High,30,$0.05,High
dog carrier walmart,1300,$0.39,Low,10,$0.05,Low
petsmart tortoise,1300,$0.33,Low,30,$0.05,Low
dog stroller petco,1300,$0.78,Low,20,$0.05,Low
petco chinchilla,1300,$0.96,Low,40,$0.05,Low
petco dogs for sale,1300,$1.08,Low,0,$0.05,Low
dog bones walmart,1300,$1.11,Low,10,$0.05,Low
petco petsmart,1300,$1.72,High,50,$0.05,Low
best walmart dog food,1300,$1.37,Low,0,$0.05,Low
petsmart puppies for sale,1300,$1.14,Low,0,$0.05,Low
petsmart treats,1000,$0.57,Low,70,$0.05,Medium
petsmart blue buffalo,1000,$1.09,Low,30,$0.05,Medium
natural pet food,1000,$7.82,Low,70,$6.07,High
natural paws,1000,$0.38,High,120,$0.05,Low
pet world near me,1000,$2.58,High,20,$0.05,Low
online dog store,1000,$2.13,Low,50,$0.05,High
petco taste of the wild,1000,$1.07,Low,0,$0.05,Low
taste of the wild petsmart,1000,$2.21,Low,0,$0.05,Low
petsmart salon,1000,$0.66,High,30,$0.05,Low
pet boutique near me,1000,$1.82,High,30,$0.05,Low
target pet supplies,1000,$1.19,Low,60,$0.05,Medium
pet supplies plus dog wash,1000,$0.46,High,40,$0.05,Low
pet stores in my area,1000,$2.7,High,0,$0.05,Low
petsmart robinson,1000,$0.46,High,30,$0.05,Low
pet feed store,1000,$2.35,High,90,$0.05,High
petsmart animal hospital,1000,$4.46,High,20,$0.05,Medium
places to buy dogs near me,1000,$1.21,Medium,0,$0.05,Low
publix dog food,1000,$1.06,Low,60,$0.05,Medium
petsmart e collar,1000,$0.69,Low,40,$0.05,Low
petland dogs,1000,$0.98,High,60,$0.29,Medium
petco dog clothes,1000,$0.75,Low,40,$0.05,Low
dog playpen petco,1000,$0.96,Low,10,$0.05,Low
petland prices,1000,$1.56,High,50,$0.05,Low
petsmart furminator,1000,$0.92,Low,10,$0.05,Medium
dwarf hamster petsmart,1000,$0.26,Low,20,$0.05,Low
petco muzzle,1000,$1.11,Low,20,$0.05,Low
trader joes cat food,1000,$1.09,Low,40,$0.05,Medium
petsmart snails,1000,$0.26,Low,30,$0.05,Low
places to buy dogs,1000,$1.01,Medium,0,$0.05,Low
petsmart pet carrier,1000,$0.72,Low,30,$0.05,Low
petco dog ramp,1000,$1.4,Low,60,$0.05,Low
petco kennel,1000,$0.98,Low,100,$0.05,Low
ebay littlest pet shop,1000,$0.11,Low,30,$0.05,Low
hedgehog petco,1000,$0.93,Low,10,$0.05,Low
local pet stores near me,1000,$2.43,High,440,$1.88,High
petsmart dog door,1000,$1.15,Low,20,$0.05,Low
tidy cat litter walmart,1000,$1.47,Low,20,$0.05,Medium
petsmart dog ramp,1000,$0.96,Low,30,$0.56,Low
aldi cat food,880,$1.07,Low,150,$0.05,Medium
pet valu dog wash,880,$0.45,High,30,$0.05,Low
dog clothes near me,880,$0.56,Low,20,$0.05,Low
petco blue buffalo,880,$1.24,Low,50,$1.09,High
petsmart alamo ranch,880,$0.65,High,20,$0.05,Low
pet warehouse near me,880,$0.77,High,30,$0.05,Low
petsmart science diet,880,$1.35,Low,40,$0.05,Low
petco dog wash,880,$1.01,Medium,40,$0.05,Low
petsmart hamburg,880,$0.4,High,20,$0.05,Low
cross bronx pet shop,880,$22.62,High,20,$0.05,Low
petco dog stairs,880,$1.21,Low,30,$0.05,Medium
steve's pet shop,880,$0.01,High,20,$0.05,Low
exotic pet shops near me,880,$2.17,High,20,$0.05,Medium
buy pets near me,880,$1.62,Low,20,$0.17,High
nexgard petsmart,880,$2.74,Low,20,$0.05,Medium
petsmart vaccinations prices,880,$2.8,High,10,$0.05,Low
beneful dog food walmart,880,$0.78,Low,10,$0.05,Medium
walgreens dog food,880,$1.34,Low,30,$0.05,Low
the pet shoppe,880,$0.14,High,70,$0.05,High
tractor supply puppy food,880,$0.53,Low,30,$0.05,Low
petsmart puppy food,880,$1.01,Low,30,$0.05,Low
bird supplies near me,880,$1.11,Low,30,$0.05,High
target cat carrier,880,$0.57,Low,10,$0.05,Low
target dog harness,880,$0.38,Low,30,$0.05,Low
dollar general cat food,880,$1.73,Low,40,$0.05,Medium
costco salmon dog food,880,$0.61,Low,50,$0.05,Low
petco dog sweaters,880,$0.92,Low,30,$0.05,Medium
target dog collars,880,$0.75,Low,30,$0.05,Low
bills pet store,880,$1.24,High,20,$0.05,Low
pet stroller walmart,880,$0.47,Low,0,$0.05,Medium
petco dog treats,880,$1.48,Low,80,$1.06,High
petsmart crickets,880,$0.34,Low,40,$0.05,Low
petsmart terrarium,880,$0.24,Low,20,$0.05,Low
walmart pet crate,880,$0.57,Low,10,$0.05,Medium
petco hrs,880,$1.58,High,30,$0.05,Low
elliott's pet store,880,$4.43,High,20,$0.05,Low
places to buy puppies near me,880,$1.54,High,0,$0.61,Low
banfield pet hospital petsmart,880,$1.01,High,40,$0.05,Low
petco pet carrier,880,$0.99,Low,230,$0.05,Low
petsmart dog treats,880,$1.41,Low,60,$0.05,Low
ferret for sale petsmart,880,$0.97,Low,0,$0.05,Low
monster pet shop,720,$1.2,High,50,$0.05,Low
pet country,720,$3.62,High,60,$0.05,Low
dog pet shop,720,$1.29,Low,20,$0.05,Low
pet food supplies,720,$6.82,Low,410,$2.65,High
aquarium supplies online,720,$1.4,Low,120,$0.05,High
puppy pet shop,720,$1.8,Low,30,$0.83,Medium
petco food,720,$1.53,Low,40,$0.05,Medium
dog sweaters target,720,$0.67,Low,0,$0.05,Low
tiffany and co dog collar,720,$0.56,Low,20,$0.05,Low
natural pet food store,720,$7.83,High,10,$0.05,High
petco repeat delivery,720,$1.26,High,90,$0.6,Medium
petsmart bath,720,$1.73,High,40,$0.05,Low
petco science diet,720,$1.15,Low,30,$0.05,Medium
walmart pet food,720,$1.72,Low,50,$0.05,Medium
petsmart fair lakes,720,$1.06,High,40,$0.05,Low
petco flea and tick,720,$1.26,Low,0,$0.05,Medium
petco waterfront,720,$1.16,High,20,$0.05,Low
jules pet shop,720,$2.59,High,10,$0.05,Low
service dog vest petsmart,720,$2.3,Low,30,$0.05,Low
nutro dog food walmart,720,$0.71,Low,0,$0.05,Low
fish supply store,720,$3.07,Medium,30,$0.05,Medium
the puppy shop,720,$0.81,High,150,$0.05,Medium
closest pet store near me,720,$2.76,High,50,$0.05,Low
premium pet supply,720,$1.85,High,30,$0.05,Low
petsmart natomas,720,$0.6,High,20,$0.05,Low
petco e collar,720,$0.8,Low,20,$0.05,Medium
petco alpine,720,$0.98,High,0,$0.05,Low
b&b pet store,720,$4.88,High,20,$0.05,Low
eddie bauer dog coat,720,$0.78,Low,20,$0.05,Medium
pet shop fish,720,$1.01,Low,20,$0.05,Low
petco leashes,720,$1.22,Low,20,$0.05,Low
petsmart dog clothes,720,$0.43,Low,40,$0.05,Medium
bird supply store,720,$0.87,Low,20,$2.6,High
petco live fish,720,$0.64,Low,80,$0.05,Low
big lots dog beds,720,$0.52,Low,40,$0.05,Medium
petsmart dog shampoo,720,$0.49,Low,50,$0.05,Medium
petsmart leashes,720,$0.52,Low,30,$0.05,Medium
petland dog prices,720,$1.26,High,20,$0.05,Medium
natural pet store near me,720,$3.08,High,30,$0.05,Medium
pet valu stores,720,$0.31,High,20,$0.05,High
blue dog bakery treats,720,$2.13,Low,70,$0.05,High
heartgard petsmart,720,$4.4,Low,20,$0.05,Low
thundershirt petsmart,720,$1.04,Low,0,$0.05,Low
petsmart discount,720,$1.5,High,80,$0.05,Medium
sam's club cat litter,720,$1.46,Low,30,$0.05,Low
petsmart dog steps,720,$0.89,Low,20,$0.05,Medium
pet valu dog food,590,$0.63,Low,10,$0.05,High
target pet,590,$0.64,Low,30,$0.05,Medium
rabbit store,590,$1.02,Low,60,$0.05,High
best pet store,590,$3.3,High,90,$3.6,High
holistic pet store,590,$1.54,High,50,$0.05,High
petsmart midtown,590,$0.84,High,30,$0.05,Low
best grocery store dog food,590,$2.58,Low,50,$0.05,High
pet shoppe,590,$0.97,High,70,$0.05,High
service dog vest petco,590,$1.3,Low,10,$0.05,Low
petsmart deals,590,$0.44,High,40,$0.62,Medium
petsmart self wash,590,$1.33,High,10,$0.05,Low
safeway dog food,590,$1.95,Low,40,$0.05,Low
petco hospital,590,$0.48,High,20,$0.05,Low
paws pet store,590,$2.39,High,20,$0.05,Medium
costco dog,590,$1.65,Low,60,$0.05,Medium
petsmart food,590,$0.81,Low,50,$0.05,Medium
petsmart frontline,590,$1.66,Low,30,$1.05,Medium
petsmart bunker hill,590,$2.94,High,20,$0.05,Low
costco dog crate,590,$1.27,Low,40,$0.05,Low
target cat scratcher,590,$0.36,Low,30,$0.05,Low
petsmart gates,590,$1.14,Low,10,$0.05,Low
discount pet store,590,$3.15,High,20,$0.05,High
meijer dog food,590,$2.71,Low,20,$0.05,Low
jacks pet store,590,$2.17,High,10,$0.05,High
petco around me,590,$2.56,High,20,$0.05,Low
petco dog steps,590,$1.27,Low,30,$0.91,Medium
three dog bakery cookies,590,$1.73,Low,80,$0.05,High
pet outlet,480,$2.62,High,40,$0.05,Medium
buy dog food online,480,$11.43,Low,1450,$1.04,High
hamster store,480,$1.04,Low,30,$0.05,Medium
local pet shops,480,$1.82,High,40,$0.05,High
dog chow walmart,480,$0.41,Low,10,$0.05,Low
costco pet food,480,$0.97,Low,20,$0.05,Medium
littlest pet shop online,480,$0.35,Medium,70,$0.05,Medium
petsmart flea bath,480,$0.58,Low,40,$0.05,Low
petco account,480,$0.72,High,30,$0.93,Low
cvs dog food,480,$2.27,Low,20,$0.05,Low
target cat,480,$0.27,Low,40,$2.0,Medium
outdoor cat house petsmart,480,$0.86,Low,30,$0.05,Low
furminator petco,480,$2.89,Low,10,$0.05,Medium
discount dog supplies,480,$2.16,Low,120,$0.05,High
the nearest petsmart,480,$1.3,High,80,$0.05,Medium
animal house pet shop,480,$4.09,High,30,$0.05,Low
target dog clothes,480,$0.55,Low,30,$0.05,Low
petco self service dog wash,480,$4.13,High,40,$0.05,Low
petsmart haircut,480,$0.46,High,10,$0.05,Low
chico pet store,480,$3.46,High,30,$0.05,Low
pet shops around me,480,$2.35,High,0,$0.05,Low
petco litter,480,$1.37,Low,40,$0.05,Medium
bravecto petsmart,480,$1.6,Low,70,$0.05,Low
hamsters for sale online,480,$0.75,Low,0,$0.05,Medium
wegmans dog food,480,$0.7,Low,30,$0.05,Low
petsmart greenies,480,$1.03,Low,40,$0.05,Medium
petsmart fetch,480,$2.29,High,30,$0.05,Low
merrick dog food petco,480,$1.39,Low,0,$0.05,Medium
premium pet,390,$1.15,High,30,$0.05,Low
animal pet shop,390,$0.91,Low,20,$0.05,Medium
dog birthday cake petsmart,390,$0.49,Low,20,$0.05,Low
petco official site,390,$2.05,Low,27080,$3.33,High
petco daycare,390,$4.27,High,10,$0.05,Low
dave's pet food,390,$3.1,High,70,$0.57,High
petsmart flea treatment,390,$1.4,Low,30,$0.05,High
chinchilla for sale petco,390,$0.77,Low,0,$0.05,Low
petsmart day camp,390,$1.19,High,30,$0.05,Low
petco bath,390,$0.49,High,10,$0.05,Low
petsmart wireless fence,390,$0.68,Low,30,$0.05,Medium
petland fish,390,$0.76,Low,10,$0.05,Medium
petco pet store,390,$1.47,High,50,$0.05,High
online dog shop,320,$1.65,Low,0,$0.05,Medium
pet supermarket dog food,320,$0.88,Low,10,$0.05,Low
pet superstore near me,320,$1.89,High,10,$0.05,High
orijen dog food petsmart,320,$1.94,Low,10,$0.05,Low
best place to buy dog food online,320,$8.3,Low,0,$0.05,Low
petco express,320,$1.41,High,20,$0.05,Low
elliott's pet shop,320,$7.11,High,0,$0.05,Low
hasbro littlest pet shop,320,$0.13,Low,60,$0.05,High
ugglys pet shop,320,$0.08,Low,30,$0.05,Medium
local pet,320,$1.84,High,40,$0.05,High
petco usa,260,$1.41,High,10,$0.05,Low
online dog shopping,260,$1.7,Low,10,$0.05,Medium
petsmart usa,260,$0.41,High,10,$0.05,Low
buy dog food,260,$12.05,Low,340,$0.85,High
fetch pet store,260,$1.52,High,30,$0.05,Medium
closest pet shop,260,$2.44,High,10,$0.05,Low
merrick dog food petsmart,260,$1.4,Low,10,$0.05,Low
24 hour pet store,260,$2.44,High,0,$0.05,Low
reptile pet shop,260,$1.63,High,30,$0.05,Low
lps pet shop,260,$0.38,Low,30,$0.05,Low
pet shop store,210,$2.27,Medium,30,$1.58,High
aquarium pet shop,210,$1.06,High,20,$0.05,Low
reptile pet shops near me,210,$1.43,High,30,$0.05,Low
largest pet stores,170,$1.06,High,0,$0.05,Low
my pet store,170,$1.94,High,30,$0.05,Medium
pet shop hamster,140,$0.5,Low,10,$0.05,Low
my pet shop,110,$0.34,Medium,90,$0.05,Low
pet food shop,110,$1.52,High,10,$0.05,High
h&m dog clothes,110,$0.6,Low,0,$0.05,Low
aldi pet food,110,$1.11,Low,20,$0.05,Medium
king pet shop,70,$0.01,High,10,$0.05,Low
aldi pet,70,$0.01,Low,10,$0.05,Low
petsmart rexville,70,$1.67,High,0,$0.05,Low
best supermarket dog food,70,$2.04,Low,10,$0.05,Medium
pet shop girls,50,$0.43,High,0,$0.05,Medium
aldi dog,50,$1.84,High,0,$0.05,Medium
lovely pet shop,30,$0.01,High,0,$0.05,Low
best friends pet store,20,$0.01,High,0,$0.05,Low
aldi dog harness,20,$1.13,Low,0,$0.05,Low
marion pet shop,20,$0.01,High,0,$0.05,Low
best friends pet shop,10,$0.01,High,0,$0.05,Low
b and m dog beds,10,$0.01,Low,0,$0.05,Low
pet accessories shop,10,$0.66,Low,0,$0.05,Low
nature pet center,10,$0.01,High,0,$0.05,Low
